,lemma_word,word,ENT,suggested_by,rating,video_id,ENT_len,ENT_max
0,sindhi dal,sindhi dal,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
1,kudi chhola,kudi chhola,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
2,rice,rice,{'FOOD'},{'Singhsman '},22.83740506329114,{'p0MvovsCxCk'},1,FOOD
3,hai pri,hai pri,{'LANDMARK'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,LANDMARK
4,tamarind sauce,tamarind sauce,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
5,jaipur,jaipur,{'CITY'},"{'Golgappa Girl', 'SugarSpiceNice India', 'Travel Tales', 'Aniruddha Patil', 'Yatra Mitra', 'Saturday Shooters', 'SugarSpiceNice Hindi', 'Sisters vs Globe', 'Singhsman ', 'Sakshi Yadav', 'TheSocialTraveller', 'Traveller Rishabh'}",11.679155035063427,"{'7cPLbiblb84', 'Lv0PkSkKeSo', 'rm_j6O8y148', 'p0MvovsCxCk', '5zA6OFpkPe0', 'fP2zols1dag', 'snwAYESRUEw', '48TcOu9kPqg', 'D1blpY-3ROE', 'lmhzpFfuWKc', 'dcRh1zTPnDQ', 'Oz18u64bM8I'}",1,CITY
6,lentil,lentil,{'FOOD'},{'Singhsman '},24.83740506329114,{'p0MvovsCxCk'},1,FOOD
7,allredi trai,allredi trai,{'LANDMARK'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,LANDMARK
8,allredi,allredi,{'AREA'},{'Singhsman '},20.83740506329114,{'p0MvovsCxCk'},1,AREA
9,radheshyam ji,radheshyam ji,{'FOOD SHOP'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD SHOP
10,paneer,paneer,{'FOOD'},{'Singhsman '},22.83740506329114,{'p0MvovsCxCk'},1,FOOD
11,nana ji,nana ji,{'LANDMARK'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,LANDMARK
12,vaccine,vaccines,{'AREA'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,AREA
13,malai paneer tikka,malai paneer tikka,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
14,raja park,raja park,{'AREA'},{'Singhsman '},22.83740506329114,{'p0MvovsCxCk'},1,AREA
15,shimla tutter,shimla tutter,{'LANDMARK'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,LANDMARK
16,recome,recomed,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
17,mahavir rabri store,mahavir rabri store,{'FOOD SHOP'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD SHOP
18,mishra rajas charusta,mishra rajas charusta,{'FOOD SHOP'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD SHOP
19,rabri,rabri,{'FOOD'},"{'Singhsman ', 'SugarSpiceNice India'}",8.518743132911393,"{'D1blpY-3ROE', 'p0MvovsCxCk'}",1,FOOD
20,besan,besan,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
21,garlic sauce,garlic sauce,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
22,sodala,sodala,"{'LANDMARK', 'AREA'}",{'Singhsman '},20.83740506329114,{'p0MvovsCxCk'},2,LANDMARK
23,gulab ji,gulab ji,"{'FOOD SHOP', 'LANDMARK'}",{'Singhsman '},23.83740506329114,{'p0MvovsCxCk'},2,FOOD SHOP
24,gulab ji tea to,gulab ji tea to,{'LANDMARK'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,LANDMARK
25,gulab ji tea,gulab ji tea,{'FOOD SHOP'},{'Singhsman '},20.83740506329114,{'p0MvovsCxCk'},1,FOOD SHOP
26,saheb,saheb,{'AREA'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,AREA
27,ganpati plaza,ganpati plaza,{'LANDMARK'},{'Singhsman '},22.83740506329114,{'p0MvovsCxCk'},1,LANDMARK
28,ganpati plazas,ganpati plazas,{'LANDMARK'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,LANDMARK
29,shankar samosa,shankar samosas,{'FOOD SHOP'},{'Singhsman '},20.46240506329114,{'p0MvovsCxCk'},1,FOOD SHOP
30,samosa,samosa,{'FOOD'},"{'Singhsman ', 'SugarSpiceNice India'}",14.893743132911393,"{'D1blpY-3ROE', 'p0MvovsCxCk'}",1,FOOD
31,samosas,samosas,{'FOOD'},"{'SugarSpiceNice Hindi', 'Singhsman '}",12.06990359140418,"{'fP2zols1dag', 'p0MvovsCxCk'}",1,FOOD
32,lentil kachori,lentils kachori,{'FOOD'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD
33,onion,onion,"{'FOOD', 'AREA'}","{'Singhsman ', 'Sakshi Yadav', 'SugarSpiceNice India'}",10.020254737310145,"{'lmhzpFfuWKc', 'D1blpY-3ROE', 'p0MvovsCxCk'}",2,FOOD
34,gurunanpura,gurunanpura,{'FOOD SHOP'},{'Singhsman '},19.83740506329114,{'p0MvovsCxCk'},1,FOOD SHOP
