lemma_word,word,suggested_by,video_id,key_word_extracted,details,clean_test,rating,ENT_max,Forts,Generic,Temple,Temples & Architectur,Scientific Monuments,Lakeside Forts,Views,Snaks,Evening,Desert,Tikka,big,come,day,different,eat,famous,feel,food,fort,good,inside,jaipur,kachori,know,let,like,little,look,lot,mahal,old,palace,people,place,right,shop,small,special,temple,thing,time,try,visit,want,year,normalize_rating
hai pri,hai pri,Singhsman ,p0MvovsCxCk,0,i rice is ok these three or four things are maintaining you are the morning and what is the pricing hai pri sir is a plate on everyone is 40 the thing is that the dish is our matthi type is a good mat,rice thing maintain morning pricing hai pri sir plate thing dish matthi type good mat,19.83740506329114,LANDMARK,0.08450132366574235,0.0,0.0,0.0,0.0,0.0,0.03262137848076898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4022203842225597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9155428785785277,0.0,0.0,0.0,0.0,0.0,0.4160016205855499
allredi trai,allredi trai,Singhsman ,p0MvovsCxCk,0,e lentil and of tapre mirchi will keep my effort basically let me show you the same thing that i am allredi trai is trying to try allredi it was brother talk about taste not a lot a wonderful test is ,lentil tapre mirchi effort basically let thing allredi trai try allredi brother talk taste lot wonderful test,19.83740506329114,LANDMARK,0.07221834406083445,0.021656558468060718,0.0,0.0,0.0,0.0,0.012729907781536964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520397551561862,0.0,0.0,0.0,0.4860174924142629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4764196207921056,0.0,0.5157496779641044,0.0,0.0,0.0,0.4160016205855499
allredi,allredi,Singhsman ,p0MvovsCxCk,0,e lentil and of tapre mirchi will keep my effort basically let me show you the same thing that i am allredi trai is trying to try allredi it was brother talk about taste not a lot a wonderful test is coming because lentils are abs,lentil tapre mirchi effort basically let thing allredi trai try allredi brother talk taste lot wonderful test come lentil ab,20.83740506329114,AREA,0.07221834406083445,0.021656558468060718,0.0,0.0,0.0,0.0,0.012729907781536964,0.0,0.0,0.0,0.0,0.0,0.36846446311796754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48378333421405545,0.0,0.0,0.0,0.4518221929769704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428996100001868,0.0,0.4794624764786951,0.0,0.0,0.0,0.3995931197875495
nana ji,nana ji,Singhsman ,p0MvovsCxCk,0,name sir gulshan bhatia sir our father started paneer was good in jaipur yes yes yes our father and nana ji met started in jaipur basic cheese started with simple cheese from him he had made such a go,sir gulshan bhatia sir father start paneer good jaipur yes father nana meet start jaipur basic cheese start simple cheese,19.83740506329114,LANDMARK,0.044190001209866235,0.01397296828573256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48488181948913045,0.0,0.8745796825498009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4160016205855499
vaccine,vaccines,Singhsman ,p0MvovsCxCk,0," something when the pure cheese was with you all and your blessings were cheese the introduction of vaccines from 20 malai paneer tikka yeh in nice live grill
ok ji is about 17 18 years ago and the sa",pure cheese blessing cheese introduction vaccine malai paneer tikka yeh nice live grill year ago,19.83740506329114,AREA,0.04975414787240337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37795265239308407
raja park,raja park,Singhsman ,p0MvovsCxCk,0," someone wants to come to eat then this proper address what is the proper address is shop number 70 raja park main chaurai on this king pak what is the main graze and timings start your timing from 10 am goes till 11 of the clock in the night then curd remains there is good yogurt inside it kasuri methi red chilli all tomatoes the gravy of the gravy etc all lives inside it hang at least seven to eight hours after that it is worthy that this tak you are not seeing this this is not a stroke that curd is absolutely accumulated butter
no one says in anyone but we have the option of butter so the butter should be applied extra butter there are many people such as those who capsicum tomato looks like not that if we take we see left empty in the plate if you are going there is only only for them two cheese p extra into it
and shimla tutter removes one in a plate seak is a script is 14 pieces of full seven pieces of cut get well the whole seven pieces and grinding i am watching a lot of size of there is nothing like this and a green chutney mint coriander spinach coriander spinach and what is together lasan and this is the curd of garlic and curd whatever our main hai bah wah yaar amazing will enjoy you brother if you king you are coming in the area recomed place is not their cheese do trying a tikka authentic they mixed everything by mixing everything have kept a good marininate and not capable praise and go on your next destination pay to find something new from jaipur and share with you do l we are standing at mahavir rabri store and we are ji mishra rajas charusta mahavir has come here from the side and we have come here rabri bhandar has two shops here and one here and one is very popular here in front wonderful vegetable gets potato onion paneer as well as their rabri etc namaskar namaskar uncle ji hello uncle ji what is your name jain and how many years have you been here rabri etc and all that your famous thing this shop has been 120 years old
the fourth generation of the year is running good
i only started from the milk shop besan is a rabri art potato onion vegetable gut hai good ji means typical rajasthani you are feeding rajasthani
go this is a good flavor of them g potato onion cheese vegetable is cheese peace is a big potato with fried with a big potato g onion this is g tapare which is from rajasthan chilli is very famous and this it is their garlic sauce which is rajasthan there is another dish that is very much popular and very crazy people bejar bread size check to eat in do you we have also come in jaipur gulab ji drinking tea is very popular this tea here they enjoy and enjoy show more tea here for you what this tea is famous hai check this out people are enjoying here pay good tea and you can see rush ho tea is to be drunk here or food sharma holy restaurant in sodala great food gets delicious food you get sharma holy restaurant sodala let us eat great food here every way it has been 1215 years when in front was in front when gulab ji was himself there drinking tea from there i am till date stay drinking here till date so much more regular is not such a day when we good this is our meeting
hello what is your name sir my name shivpal singh is and how many years is uncle gulab ji tea to gulab ji tea it is a year before independence from 1946 to 194 well this was started by my father father saheb gave your good name to your name zee thaka naam was gulab ji good and address by the way what is the proper address ae road
ganpati plaza me road ganpati plaza ganpati plazas na ganpati plaza and what timing remains your tea morning 4 morning four from night to 10 in the night people drink tea till 10 of the clock in the night people are good while sitting night low day night only means the same gap that is a gap is there no one if not the rest do not write rest good ginger is for how many cups have ginger for how many cups 50 cups of ginger for 50 cups meaning
is come our good tea together brother people are also enjoying us and this take them to make them mascara you also take this friend try you know the butter and jam inside it he will be your bun maska â€‹â€‹is simple recipes i do not even think of me complicated some extraordinaries stay in a simple way brother tea is very hard wonderful tea if you are coming to jaipur neither here your arrival is made and will be according to me by enjoying them and together there are a lot of things or all
you you can enjoy here we have come in search of food in jaipur today shankar samosas have with you namaskar ji
hello what is your name sir deepak arora
and when you have been serving it you have been a year good it has been completed have you been setting up a fair
you are spices very old good sir the quality of the spices is still the same as the first from the beginning yes ok ok meaning starts who started here by grandpa was started with good grandfather and you you have been maintaining it forward good other than samosa shankar samosa to name in addition to the samosas of your shop what do you make samosas then lentils kachori is onion is good chilli bread is a good address what if it remains somebody has to come here to eat this gurunanpura hai gali number one raja park gurunanak pumumb what timings live what time do you start in the morning from 730 to 800 pm from 730 pm what is their link till 8 pm looks like you have a great flavor how long have you been eating our best eating 2005 mash it and crush it again and again
yes ok i took samosa to test samosa tests without chutney so that its originality can be found out potato is good feeling inside that today we will feed you the cheela whose discussion people bhaag hong kong bakk berlin tokyo talk to the forest via paris or ping city good pandit ji first of all greetings tell me the name pandit ji pandit ramjilal tiwari is good and good by the way how many years have you been almost here the owners make this making these sir how much are you growing yes 22 from april 1980 to 90 i am calcutta sir good good you have been clicking first
yes
and then in 90 i came here to the village good 90 in jaipur has good good 90 in jaipur ho yes regular am classic item is ultimate if you are jaipur you are coming or it is made to try pandit ji is in front of the high court stall a stall in the name of calcutta chaat bhandar i will say again to turn the outside show good from with this search for the taste of evening time i have arrived in raman dosa and here get very good dosa so let us go the wonderful here flavor we roam around in the area and evening an uncle who met at pranami chowk we got to eat food then let us lick them you also meet and test here drag chaat check the bicycle how much lovely bicycle is looking and is punished and it is uncle is a traditional rajasthani here namaskar in dress uncle ji namaskar saab how are you sir sir what is your name sir
my name is ruparam and how many years uncle makes you or it is been brother sir this is good this is a raw papad you are making cheese and spinach and your rice rice flour mixed with all three good three four things mix three four flour there are inside it
ok what is uncle ji address if someone has panna chaura raja park if there is no food pranami intersection raja park and what time from what time by what time it is good at 5 of the clock in the evening you ",want come eat proper address proper address shop number raja park main chaurai king pak main graze timing start timing go till clock night curd remain good yogurt inside kasuri methi red chilli tomatoe gravy etc live inside hang seven hour worthy tak see stroke curd absolutely accumulate butter say option butter apply extra butter people capsicum tomato look like leave plate go cheese extra shimla tutter remove plate seak script piece seven piece cut seven piece grind watch lot size like green chutney mint coriander spinach coriander spinach lasan curd garlic curd main hai bah wah yaar amazing enjoy brother king come area recome place cheese try tikka authentic mix keep good marininate capable praise destination pay find new jaipur share stand mahavir rabri store mishra rajas charusta mahavir come rabri bhandar shop popular wonderful vegetable get potato onion paneer rabri etc namaskar uncle hello uncle jain year rabri etc famous thing shop 120 year old fourth generation year run good start milk shop besan rabri art potato onion vegetable gut hai good mean typical rajasthani feed rajasthani good flavor potato onion cheese vegetable cheese peace big potato fry big potato onion tapare rajasthan chilli famous garlic sauce rajasthan dish popular crazy people bejar bread size check eat come jaipur gulab drinking tea popular tea enjoy tea famous hai check people enjoy pay good tea rush tea drunk food sharma holy restaurant sodala great food get delicious food sharma holy restaurant sodala let eat great food way 1215 year gulab drink tea till date stay drink till date regular day good meeting hello sir shivpal singh year uncle gulab tea gulab tea year independence 1946 194 start father saheb give good zee thaka naam gulab good address way proper address road ganpati plaza road ganpati plaza ganpati plazas ganpati plaza timing remain tea morning night people drink tea till clock night people good sit night low day night mean gap rest write rest good ginger cup ginger cup ginger cup meaning come good tea brother people enjoy mascara friend try know butter jam inside bun maska â€‹â€‹i simple recipe think complicate extraordinarie stay simple way brother tea hard wonderful tea come jaipur arrival accord enjoy lot thing enjoy come search food jaipur today shankar samosa namaskar hello sir deepak arora serve year good complete set fair spice old good sir quality spice beginning yes meaning start grandpa start good grandfather maintain forward good samosa shankar samosa addition samosa shop samosa lentil kachori onion good chilli bread good address remain somebody come eat gurunanpura hai gali number raja park gurunanak pumumb timing live time start morning 730 800 730 link till look like great flavor long eat good eat 2005 mash crush yes take samosa test samosa test chutney originality find potato good feeling inside today feed cheela discussion people bhaag hong kong bakk berlin tokyo talk forest paris ping city good pandit greeting tell pandit ramjilal tiwari good way year owner make sir grow yes april 1980 calcutta sir good click yes come village good jaipur good jaipur yes regular classic item ultimate jaipur come try pandit high court stall calcutta chaat bhandar turn outside good search taste evening time arrive raman dosa good dosa let wonderful flavor roam area evening uncle meet pranami chowk get eat food let lick meet test drag chaat check bicycle lovely bicycle look punish uncle traditional rajasthani namaskar dress uncle namaskar saab sir ruparam year uncle make brother sir good raw papad make cheese spinach rice flour mix good thing mix flour inside uncle address panna chaura raja park food pranami intersection raja park time good clock evening,22.83740506329114,AREA,0.1965972920313643,0.01989176420417165,0.012726916997810516,0.0010927265450886374,0.01109487862480903,0.0,0.014098067559657906,0.0,0.0,0.0,0.0,0.061683281254795365,0.23701643221200738,0.0649210444086432,0.0,0.22291660813686212,0.09171071970471938,0.0,0.23061176054630914,0.0,0.7509737973175479,0.14959214071789365,0.158028368702031,0.03230359463161101,0.030705142008641533,0.09335874526575463,0.0731610986215648,0.0,0.08719100067404947,0.05812733378269965,0.0,0.06523922872689107,0.0,0.22084628981280255,0.024867685698698357,0.0,0.15152539414477179,0.0,0.0,0.0,0.08546915311889262,0.08580673624541375,0.09252492188219305,0.0,0.03140438631601821,0.2921446998388944,0.4428740545764805
shimla tutter,shimla tutter,Singhsman ,p0MvovsCxCk,0,"left empty in the plate if you are going there is only only for them two cheese p extra into it
and shimla tutter removes one in a plate seak is a script is 14 pieces of full seven pieces of cut get w",leave plate go cheese extra shimla tutter remove plate seak script piece seven piece cut,19.83740506329114,LANDMARK,0.05361777707405154,0.0022971698705315613,0.00032621054557452356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4160016205855499
sodala,sodala,Singhsman ,p0MvovsCxCk,0,here pay good tea and you can see rush ho tea is to be drunk here or food sharma holy restaurant in sodala great food gets delicious food you get sharma holy restaurant sodala let us eat great food here every way it has been 1215 years when in front was in front when g,pay good tea rush tea drunk food sharma holy restaurant sodala great food get delicious food sharma holy restaurant sodala let eat great food way 1215 year,20.83740506329114,LANDMARK,0.12427760610360551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21960484681691267,0.0,0.0,0.9087427046773949,0.0,0.17262395561471983,0.0,0.0,0.0,0.0,0.21460077510782924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22384790644806046,0.4398206610111837
gulab ji tea to,gulab ji tea to,Singhsman ,p0MvovsCxCk,0,"his is our meeting
hello what is your name sir my name shivpal singh is and how many years is uncle gulab ji tea to gulab ji tea it is a year before independence from 1946 to 194 well this was started",meeting hello sir shivpal singh year uncle gulab tea gulab tea year independence 1946 194 start,19.83740506329114,LANDMARK,0.05758461868398765,0.0,0.014830308733785892,0.0017518643123351683,0.013085789857242318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4160016205855499
saheb,saheb,Singhsman ,p0MvovsCxCk,0, ji tea it is a year before independence from 1946 to 194 well this was started by my father father saheb gave your good name to your name zee thaka naam was gulab ji good and address by the way what ,tea year independence 1946 194 start father saheb give good zee thaka naam gulab good address way,19.83740506329114,AREA,0.05769405873153099,0.006387455678118456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390685503234376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440257051446418,0.37795265239308407
